in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 00
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 19
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 91
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 19
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 91
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 2a
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = a2
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e2
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 2e
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f3
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 3f
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f3
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 3f
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 37
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 73
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 37
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 73
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 48
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 84
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = d3
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 3d
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 39
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 93
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = c4
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 4c
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = d5
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 5d
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = d5
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 5d
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 19
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 91
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 19
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 91
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 2a
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = a2
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = b5
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 5b
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = c6
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 6c
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = d7
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7d
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = c6
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 6c
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = d7
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7d
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f9
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 9f
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = d7
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 7d
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f9
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 9f
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 0a
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = a0
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = f9
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = 9f
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 0a
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = a0
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 0, final_cal_out = 1b
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 2, in_add_sub_sel = 1, final_cal_out = b1
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d3
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 3d
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 39
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 93
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = c4
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 4c
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d5
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 5d
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d5
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 5d
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 19
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 91
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 08
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 80
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 19
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 91
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 2a
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = a2
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = b5
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 5b
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = c6
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 6c
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d7
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7d
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = c6
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 6c
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d7
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7d
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f9
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9f
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = d7
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 7d
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = e8
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 8e
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = f9
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 1, final_cal_out = 9f
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 3, in_add_sub_sel = 0, final_cal_out = 0a
